train_idx,count_above_threshold
0,18
1,19
2,17
3,20
4,11
5,18
6,22
7,11
8,17
9,15
10,17
11,20
12,14
13,14
14,25
15,27
16,25
17,16
18,13
19,14
20,18
21,11
22,9
23,19
24,18
25,22
26,12
27,18
28,14
29,22
30,22
31,14
32,16
33,13
34,13
35,15
36,13
37,22
38,18
39,18
40,19
41,16
42,17
43,15
44,21
45,21
46,19
47,9
48,14
49,15
50,26
51,15
52,15
53,19
54,16
55,18
56,11
57,21
58,17
59,23
60,19
61,21
62,15
63,16
64,22
65,19
66,19
67,19
68,15
69,28
70,11
71,20
72,18
73,18
74,16
75,22
76,23
77,19
78,12
79,19
80,15
81,26
82,20
83,13
84,22
85,24
86,12
87,12
88,11
89,25
90,17
91,15
92,10
93,17
94,10
95,18
96,14
97,22
98,21
99,15
100,16
101,18
102,19
103,28
104,5
105,19
106,20
107,29
108,18
109,20
110,11
111,13
112,27
113,18
114,17
115,17
116,19
117,15
118,20
119,14
120,12
121,19
122,21
123,10
124,24
125,17
126,13
127,18
128,15
129,13
130,19
131,19
132,17
133,18
134,23
135,8
136,20
137,21
138,22
139,35
140,25
141,19
142,13
143,16
144,20
145,18
146,18
147,16
148,18
149,29
150,19
151,19
152,26
153,27
154,17
155,15
156,19
157,12
158,18
159,16
160,21
161,17
162,26
163,19
164,13
165,15
166,14
167,26
168,13
169,19
170,17
171,19
172,27
173,20
174,9
175,17
176,21
177,20
178,23
179,23
180,19
181,19
182,25
183,26
184,11
185,20
186,12
187,23
188,21
189,14
190,14
191,17
192,11
193,18
194,23
195,17
196,14
197,16
198,15
199,21
200,16
201,24
202,14
203,19
204,16
205,23
206,14
207,17
208,26
209,19
210,16
211,20
212,22
213,10
214,22
215,18
216,14
217,16
218,13
219,17
220,28
221,14
222,22
223,22
224,21
225,12
226,20
227,16
228,23
229,18
230,6
231,24
232,8
233,17
234,18
235,14
236,21
237,24
238,11
239,16
240,22
241,16
242,18
243,20
244,18
245,22
246,21
247,18
248,15
249,17
250,15
251,18
252,16
253,24
254,19
255,16
256,19
257,16
258,16
259,11
260,24
261,18
262,23
263,20
264,21
265,16
266,16
267,17
268,22
269,28
270,23
271,18
272,13
273,10
274,19
275,20
276,18
277,14
278,19
279,27
280,25
281,20
282,15
283,19
284,20
285,14
286,26
287,12
288,15
289,10
290,11
291,10
292,14
293,17
294,20
295,15
296,17
297,16
298,19
299,22
300,16
301,22
302,18
303,16
304,19
305,25
306,23
307,17
308,24
309,24
310,24
311,20
312,19
313,11
314,17
315,22
316,21
317,16
318,21
319,16
320,23
321,15
322,19
323,7
324,10
325,22
326,20
327,24
328,17
329,16
330,21
331,11
332,15
333,14
334,14
335,21
336,16
337,11
