dataset,attack,n,seed,method,provenance,poisons_removed,clean_removed,asr,accuracy
sst2,scpn,6000,42,no_removal,original_suite,0,0,0.9010989010989011,0.8977460142935679
sst2,scpn,6000,42,PD_KL,original_suite,157,143,0.4989010989010989,0.9098405717427158
sst2,scpn,6000,42,PD_observed,original_suite,104,196,0.6604395604395604,0.9065420560747663
sst2,scpn,6000,42,ZScore_released_unigram,original_suite,0,300,0.9417582417582417,0.8982957669048928
sst2,scpn,6000,42,random,original_suite,14,286,0.9153846153846154,0.8933479934029687
sst2,scpn,6000,42,oracle,original_suite,300,0,0.23736263736263735,0.9048927982407916
sst2,scpn,6000,42,clean_trained,original_suite,0,0,0.22857142857142856,0.9065420560747663
imdb,cf,10000,42,no_removal,original_suite,0,0,1.0,0.851
imdb,cf,10000,42,PD_KL,original_suite,268,232,0.9599198396793587,0.863
imdb,cf,10000,42,PD_observed,original_suite,472,28,0.1683366733466934,0.846
imdb,cf,10000,42,ZScore_released_unigram,original_suite,0,500,1.0,0.856
imdb,cf,10000,42,random,original_suite,14,486,1.0,0.852
imdb,cf,10000,42,oracle,original_suite,500,0,0.15430861723446893,0.85
imdb,cf,10000,42,clean_trained,original_suite,0,0,0.13026052104208416,0.858
sst2,scpn,6000,43,no_removal,original_suite,0,0,0.9230769230769231,0.8982957669048928
sst2,scpn,6000,43,PD_KL,original_suite,152,148,0.4593406593406593,0.9098405717427158
sst2,scpn,6000,43,PD_observed,original_suite,73,227,0.7923076923076923,0.9081913139087411
sst2,scpn,6000,43,ZScore_released_unigram,original_suite,0,300,0.9351648351648352,0.8922484881803189
sst2,scpn,6000,43,random,original_suite,10,290,0.9252747252747253,0.8916987355689939
sst2,scpn,6000,43,oracle,original_suite,300,0,0.24285714285714285,0.9087410665200659
sst2,scpn,6000,43,clean_trained,original_suite,0,0,0.22197802197802197,0.9103903243540407
imdb,cf,10000,43,no_removal,original_suite,0,0,1.0,0.858
imdb,cf,10000,43,PD_KL,original_suite,258,242,1.0,0.856
imdb,cf,10000,43,PD_observed,original_suite,470,30,0.17034068136272545,0.861
imdb,cf,10000,43,ZScore_released_unigram,original_suite,0,500,1.0,0.859
imdb,cf,10000,43,random,original_suite,26,474,1.0,0.867
imdb,cf,10000,43,oracle,original_suite,500,0,0.1743486973947896,0.856
imdb,cf,10000,43,clean_trained,original_suite,0,0,0.13827655310621242,0.849
sst2,scpn,6000,44,no_removal,original_suite,0,0,0.9065934065934066,0.893956043956044
sst2,scpn,6000,44,PD_KL,original_suite,156,144,0.5087912087912088,0.9093406593406593
sst2,scpn,6000,44,PD_observed,original_suite,65,235,0.8340659340659341,0.8928571428571429
sst2,scpn,6000,44,ZScore_released_unigram,original_suite,0,300,0.9373626373626374,0.8884615384615384
sst2,scpn,6000,44,random,original_suite,18,282,0.9230769230769231,0.8895604395604395
sst2,scpn,6000,44,oracle,original_suite,300,0,0.27362637362637365,0.9038461538461539
sst2,scpn,6000,44,clean_trained,original_suite,0,0,0.26263736263736265,0.904945054945055
imdb,cf,10000,44,no_removal,original_suite,0,0,1.0,0.848
imdb,cf,10000,44,PD_KL,original_suite,276,224,1.0,0.853
imdb,cf,10000,44,PD_observed,original_suite,453,47,0.17034068136272545,0.859
imdb,cf,10000,44,ZScore_released_unigram,original_suite,0,500,1.0,0.849
imdb,cf,10000,44,random,original_suite,28,472,1.0,0.849
imdb,cf,10000,44,oracle,original_suite,500,0,0.15030060120240482,0.856
imdb,cf,10000,44,clean_trained,original_suite,0,0,0.14428857715430862,0.857
sst2,scpn,6000,42,base_label_NLL,new_followup,157,143,0.4912087912087912,0.9098405717427158
sst2,scpn,6000,42,adapted_label_confidence_posthoc,new_followup,0,300,0.9,0.8933479934029687
imdb,cf,10000,42,base_label_NLL,new_followup,265,235,0.9639278557114228,0.866
imdb,cf,10000,42,adapted_label_confidence_posthoc,new_followup,467,33,0.3026052104208417,0.85
sst2,scpn,6000,43,base_label_NLL,new_followup,154,146,0.4725274725274725,0.9087410665200659
sst2,scpn,6000,43,adapted_label_confidence_posthoc,new_followup,0,300,0.9186813186813186,0.8933479934029687
imdb,cf,10000,43,base_label_NLL,new_followup,254,246,1.0,0.872
imdb,cf,10000,43,adapted_label_confidence_posthoc,new_followup,402,98,1.0,0.852
sst2,scpn,6000,44,base_label_NLL,new_followup,155,145,0.489010989010989,0.910989010989011
sst2,scpn,6000,44,adapted_label_confidence_posthoc,new_followup,0,300,0.9076923076923077,0.8945054945054945
imdb,cf,10000,44,base_label_NLL,new_followup,275,225,0.969939879759519,0.849
imdb,cf,10000,44,adapted_label_confidence_posthoc,new_followup,359,141,1.0,0.848
