dataset,attack,n,rate,seed,mode,method,alpha,threshold,independent_clean_test_fpr,tp,fp,fn,tn,n_flagged,precision,recall,f1,fpr
imdb,cf,10000,0.005,42,full,PD_KL,0.01,1.9239396426105801,0.011,34,453,16,9497,487,0.06981519507186858,0.68,0.1266294227188082,0.045527638190954775
imdb,cf,10000,0.005,42,full,PD_KL,0.05,0.9711696693877246,0.063,44,1152,6,8798,1196,0.03678929765886288,0.88,0.07062600321027288,0.11577889447236181
imdb,cf,10000,0.005,42,full,PD_label_KL,0.01,1.9211522738028024,0.011,34,452,16,9498,486,0.06995884773662552,0.68,0.12686567164179105,0.04542713567839196
imdb,cf,10000,0.005,42,full,PD_label_KL,0.05,0.9555403343703129,0.064,44,1159,6,8791,1203,0.03657522859517872,0.88,0.07023144453312051,0.11648241206030151
imdb,cf,10000,0.005,42,full,PD_observed,0.01,12.761101365089417,0.008,19,575,31,9375,594,0.03198653198653199,0.38,0.059006211180124224,0.05778894472361809
imdb,cf,10000,0.005,42,full,PD_observed,0.05,11.07282567024231,0.051,29,1611,21,8339,1640,0.01768292682926829,0.58,0.03431952662721893,0.16190954773869345
imdb,cf,10000,0.005,42,full,PD_max_abs,0.01,12.902737885713577,0.009,19,523,31,9427,542,0.03505535055350553,0.38,0.06418918918918919,0.05256281407035176
imdb,cf,10000,0.005,42,full,PD_max_abs,0.05,11.224013805389404,0.052,28,1479,22,8471,1507,0.0185799601857996,0.56,0.03596660244059088,0.148643216080402
imdb,cf,10000,0.005,42,full,PD_positive_oracle,0.01,12.761101365089417,0.008,19,369,31,9581,388,0.04896907216494845,0.38,0.0867579908675799,0.03708542713567839
imdb,cf,10000,0.005,42,full,PD_positive_oracle,0.05,10.339130520820618,0.053,35,1336,15,8614,1371,0.025528811086797956,0.7,0.04926108374384237,0.1342713567839196
imdb,cf,10000,0.005,42,full,base_label_NLL,0.01,3.6276549794948463,0.007,20,87,30,9863,107,0.18691588785046728,0.4,0.25477707006369427,0.008743718592964824
imdb,cf,10000,0.005,42,full,base_label_NLL,0.05,1.8531596375172894,0.052,35,490,15,9460,525,0.06666666666666667,0.7,0.12173913043478261,0.04924623115577889
imdb,cf,10000,0.005,42,full,adapted_label_NLL,0.01,11.592414614741573,0.007,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,42,full,adapted_label_NLL,0.05,6.583400087129329,0.048,0,1,50,9949,1,0.0,0.0,0.0,0.00010050251256281407
imdb,cf,10000,0.005,42,full,ZScore_token,0.01,24.422443105049446,0.0,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,42,full,ZScore_token,0.05,24.422443105049446,0.0,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,42,full,ZScore_released_unigram,0.01,25.232974559636467,0.0,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,42,full,ZScore_released_unigram,0.05,24.117255661951347,0.045,13,456,37,9494,469,0.02771855010660981,0.26,0.05009633911368015,0.04582914572864322
imdb,cf,10000,0.005,43,full,PD_KL,0.01,1.6210837399162656,0.022,35,617,15,9333,652,0.05368098159509203,0.7,0.09971509971509972,0.062010050251256284
imdb,cf,10000,0.005,43,full,PD_KL,0.05,0.8997205874588027,0.071,41,1263,9,8687,1304,0.03144171779141104,0.82,0.060561299852289516,0.12693467336683417
imdb,cf,10000,0.005,43,full,PD_label_KL,0.01,1.6002522703107276,0.022,35,624,15,9326,659,0.05311077389984825,0.7,0.09873060648801128,0.06271356783919597
imdb,cf,10000,0.005,43,full,PD_label_KL,0.05,0.8872841164521187,0.072,41,1274,9,8676,1315,0.0311787072243346,0.82,0.060073260073260075,0.12804020100502514
imdb,cf,10000,0.005,43,full,PD_observed,0.01,13.092332959175108,0.012,25,612,25,9338,637,0.03924646781789639,0.5,0.07278020378457059,0.061507537688442214
imdb,cf,10000,0.005,43,full,PD_observed,0.05,11.558851301670074,0.056,41,1608,9,8342,1649,0.024863553668890235,0.82,0.04826368452030606,0.16160804020100503
imdb,cf,10000,0.005,43,full,PD_max_abs,0.01,13.241913437843323,0.009,24,561,26,9389,585,0.041025641025641026,0.48,0.07559055118110236,0.056381909547738696
imdb,cf,10000,0.005,43,full,PD_max_abs,0.05,11.663792550563812,0.054,40,1524,10,8426,1564,0.02557544757033248,0.8,0.04956629491945477,0.15316582914572865
imdb,cf,10000,0.005,43,full,PD_positive_oracle,0.01,13.092332959175108,0.012,25,455,25,9495,480,0.052083333333333336,0.5,0.09433962264150944,0.0457286432160804
imdb,cf,10000,0.005,43,full,PD_positive_oracle,0.05,11.357229392975569,0.05,42,1206,8,8744,1248,0.03365384615384615,0.84,0.06471494607087827,0.12120603015075376
imdb,cf,10000,0.005,43,full,base_label_NLL,0.01,3.6276549794948463,0.007,16,90,34,9860,106,0.1509433962264151,0.32,0.20512820512820512,0.009045226130653266
imdb,cf,10000,0.005,43,full,base_label_NLL,0.05,1.8531596375172894,0.052,34,518,16,9432,552,0.06159420289855073,0.68,0.11295681063122924,0.05206030150753769
imdb,cf,10000,0.005,43,full,adapted_label_NLL,0.01,11.566048210441378,0.014,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,43,full,adapted_label_NLL,0.05,7.422413755578944,0.035,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,43,full,ZScore_token,0.01,24.307426234760673,0.0,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,43,full,ZScore_token,0.05,24.307426234760673,0.0,0,0,50,9950,0,0.0,0.0,0.0,0.0
imdb,cf,10000,0.005,43,full,ZScore_released_unigram,0.01,25.083026366535822,0.0,0,0,50,9950,0,0.0,0.0,0.0,0.0
