dataset,attack,n,rate,seed,mode,method,auroc,auprc,budget_pct,tp,fp,fn,tn,n_flagged,precision,recall,f1,fpr
imdb,cf,10000,0.005,42,full,PD_KL,0.9342211055276382,0.1497452782413679,1,20,80,30,9870,100,0.2,0.4,0.26666666666666666,0.008040201005025126
imdb,cf,10000,0.005,42,full,PD_KL,0.9342211055276382,0.1497452782413679,3,29,271,21,9679,300,0.09666666666666666,0.58,0.1657142857142857,0.027236180904522612
imdb,cf,10000,0.005,42,full,PD_KL,0.9342211055276382,0.1497452782413679,5,35,465,15,9485,500,0.07,0.7,0.12727272727272726,0.04673366834170854
imdb,cf,10000,0.005,42,full,PD_KL,0.9342211055276382,0.1497452782413679,10,41,959,9,8991,1000,0.041,0.82,0.07809523809523809,0.09638190954773869
imdb,cf,10000,0.005,42,full,PD_label_KL,0.9344301507537688,0.148805159280561,1,20,80,30,9870,100,0.2,0.4,0.26666666666666666,0.008040201005025126
imdb,cf,10000,0.005,42,full,PD_label_KL,0.9344301507537688,0.148805159280561,3,30,270,20,9680,300,0.1,0.6,0.17142857142857143,0.027135678391959798
imdb,cf,10000,0.005,42,full,PD_label_KL,0.9344301507537688,0.148805159280561,5,35,465,15,9485,500,0.07,0.7,0.12727272727272726,0.04673366834170854
imdb,cf,10000,0.005,42,full,PD_label_KL,0.9344301507537688,0.148805159280561,10,41,959,9,8991,1000,0.041,0.82,0.07809523809523809,0.09638190954773869
imdb,cf,10000,0.005,42,full,PD_observed,0.825608040201005,0.029152525752862785,1,5,95,45,9855,100,0.05,0.1,0.06666666666666667,0.009547738693467337
imdb,cf,10000,0.005,42,full,PD_observed,0.825608040201005,0.029152525752862785,3,10,290,40,9660,300,0.03333333333333333,0.2,0.05714285714285714,0.02914572864321608
imdb,cf,10000,0.005,42,full,PD_observed,0.825608040201005,0.029152525752862785,5,17,483,33,9467,500,0.034,0.34,0.06181818181818182,0.048542713567839194
imdb,cf,10000,0.005,42,full,PD_observed,0.825608040201005,0.029152525752862785,10,25,975,25,8975,1000,0.025,0.5,0.047619047619047616,0.09798994974874371
imdb,cf,10000,0.005,42,full,PD_max_abs,0.825608040201005,0.029152525752862785,1,5,95,45,9855,100,0.05,0.1,0.06666666666666667,0.009547738693467337
imdb,cf,10000,0.005,42,full,PD_max_abs,0.825608040201005,0.029152525752862785,3,10,290,40,9660,300,0.03333333333333333,0.2,0.05714285714285714,0.02914572864321608
imdb,cf,10000,0.005,42,full,PD_max_abs,0.825608040201005,0.029152525752862785,5,17,483,33,9467,500,0.034,0.34,0.06181818181818182,0.048542713567839194
imdb,cf,10000,0.005,42,full,PD_max_abs,0.825608040201005,0.029152525752862785,10,25,975,25,8975,1000,0.025,0.5,0.047619047619047616,0.09798994974874371
imdb,cf,10000,0.005,42,full,PD_positive_oracle,0.9031276381909548,0.048570068076674765,1,7,93,43,9857,100,0.07,0.14,0.09333333333333334,0.009346733668341708
imdb,cf,10000,0.005,42,full,PD_positive_oracle,0.9031276381909548,0.048570068076674765,3,15,285,35,9665,300,0.05,0.3,0.08571428571428572,0.02864321608040201
imdb,cf,10000,0.005,42,full,PD_positive_oracle,0.9031276381909548,0.048570068076674765,5,24,476,26,9474,500,0.048,0.48,0.08727272727272728,0.047839195979899496
imdb,cf,10000,0.005,42,full,PD_positive_oracle,0.9031276381909548,0.048570068076674765,10,29,971,21,8979,1000,0.029,0.58,0.05523809523809524,0.09758793969849246
imdb,cf,10000,0.005,42,full,base_label_NLL,0.9333527638190955,0.13737340777621618,1,19,81,31,9869,100,0.19,0.38,0.25333333333333335,0.00814070351758794
imdb,cf,10000,0.005,42,full,base_label_NLL,0.9333527638190955,0.13737340777621618,3,29,271,21,9679,300,0.09666666666666666,0.58,0.1657142857142857,0.027236180904522612
imdb,cf,10000,0.005,42,full,base_label_NLL,0.9333527638190955,0.13737340777621618,5,34,466,16,9484,500,0.068,0.68,0.12363636363636364,0.046834170854271356
imdb,cf,10000,0.005,42,full,base_label_NLL,0.9333527638190955,0.13737340777621618,10,41,959,9,8991,1000,0.041,0.82,0.07809523809523809,0.09638190954773869
imdb,cf,10000,0.005,42,full,adapted_label_NLL,0.7320643216080402,0.010168423641836745,1,0,100,50,9850,100,0.0,0.0,0.0,0.010050251256281407
imdb,cf,10000,0.005,42,full,adapted_label_NLL,0.7320643216080402,0.010168423641836745,3,0,300,50,9650,300,0.0,0.0,0.0,0.03015075376884422
imdb,cf,10000,0.005,42,full,adapted_label_NLL,0.7320643216080402,0.010168423641836745,5,1,499,49,9451,500,0.002,0.02,0.0036363636363636364,0.050150753768844224
imdb,cf,10000,0.005,42,full,adapted_label_NLL,0.7320643216080402,0.010168423641836745,10,10,990,40,8960,1000,0.01,0.2,0.01904761904761905,0.09949748743718594
imdb,cf,10000,0.005,42,full,ZScore_token,0.2538572864321608,0.003432669133258589,1,0,100,50,9850,100,0.0,0.0,0.0,0.010050251256281407
imdb,cf,10000,0.005,42,full,ZScore_token,0.2538572864321608,0.003432669133258589,3,0,300,50,9650,300,0.0,0.0,0.0,0.03015075376884422
imdb,cf,10000,0.005,42,full,ZScore_token,0.2538572864321608,0.003432669133258589,5,0,500,50,9450,500,0.0,0.0,0.0,0.05025125628140704
imdb,cf,10000,0.005,42,full,ZScore_token,0.2538572864321608,0.003432669133258589,10,0,1000,50,8950,1000,0.0,0.0,0.0,0.10050251256281408
imdb,cf,10000,0.005,42,full,ZScore_released_unigram,0.4423889447236181,0.011037447315947146,1,5,95,45,9855,100,0.05,0.1,0.06666666666666667,0.009547738693467337
imdb,cf,10000,0.005,42,full,ZScore_released_unigram,0.4423889447236181,0.011037447315947146,3,8,292,42,9658,300,0.02666666666666667,0.16,0.045714285714285714,0.029346733668341708
imdb,cf,10000,0.005,42,full,ZScore_released_unigram,0.4423889447236181,0.011037447315947146,5,13,487,37,9463,500,0.026,0.26,0.04727272727272727,0.04894472361809045
imdb,cf,10000,0.005,42,full,ZScore_released_unigram,0.4423889447236181,0.011037447315947146,10,13,987,37,8963,1000,0.013,0.26,0.024761904761904763,0.0991959798994975
imdb,cf,10000,0.005,43,full,PD_KL,0.9185447236180905,0.12033413848999261,1,16,84,34,9866,100,0.16,0.32,0.21333333333333335,0.008442211055276382
imdb,cf,10000,0.005,43,full,PD_KL,0.9185447236180905,0.12033413848999261,3,28,272,22,9678,300,0.09333333333333334,0.56,0.16,0.027336683417085426
imdb,cf,10000,0.005,43,full,PD_KL,0.9185447236180905,0.12033413848999261,5,34,466,16,9484,500,0.068,0.68,0.12363636363636364,0.046834170854271356
imdb,cf,10000,0.005,43,full,PD_KL,0.9185447236180905,0.12033413848999261,10,39,961,11,8989,1000,0.039,0.78,0.07428571428571429,0.09658291457286432
imdb,cf,10000,0.005,43,full,PD_label_KL,0.9196562814070351,0.12053654486062276,1,16,84,34,9866,100,0.16,0.32,0.21333333333333335,0.008442211055276382
imdb,cf,10000,0.005,43,full,PD_label_KL,0.9196562814070351,0.12053654486062276,3,28,272,22,9678,300,0.09333333333333334,0.56,0.16,0.027336683417085426
imdb,cf,10000,0.005,43,full,PD_label_KL,0.9196562814070351,0.12053654486062276,5,34,466,16,9484,500,0.068,0.68,0.12363636363636364,0.046834170854271356
imdb,cf,10000,0.005,43,full,PD_label_KL,0.9196562814070351,0.12053654486062276,10,39,961,11,8989,1000,0.039,0.78,0.07428571428571429,0.09658291457286432
imdb,cf,10000,0.005,43,full,PD_observed,0.894824120603015,0.060421734405211786,1,11,89,39,9861,100,0.11,0.22,0.14666666666666667,0.008944723618090452
imdb,cf,10000,0.005,43,full,PD_observed,0.894824120603015,0.060421734405211786,3,18,282,32,9668,300,0.06,0.36,0.10285714285714286,0.02834170854271357
imdb,cf,10000,0.005,43,full,PD_observed,0.894824120603015,0.060421734405211786,5,22,478,28,9472,500,0.044,0.44,0.08,0.048040201005025124
imdb,cf,10000,0.005,43,full,PD_observed,0.894824120603015,0.060421734405211786,10,35,965,15,8985,1000,0.035,0.7,0.06666666666666667,0.09698492462311557
imdb,cf,10000,0.005,43,full,PD_max_abs,0.894824120603015,0.060421734405211786,1,11,89,39,9861,100,0.11,0.22,0.14666666666666667,0.008944723618090452
imdb,cf,10000,0.005,43,full,PD_max_abs,0.894824120603015,0.060421734405211786,3,18,282,32,9668,300,0.06,0.36,0.10285714285714286,0.02834170854271357
imdb,cf,10000,0.005,43,full,PD_max_abs,0.894824120603015,0.060421734405211786,5,22,478,28,9472,500,0.044,0.44,0.08,0.048040201005025124
imdb,cf,10000,0.005,43,full,PD_max_abs,0.894824120603015,0.060421734405211786,10,35,965,15,8985,1000,0.035,0.7,0.06666666666666667,0.09698492462311557
imdb,cf,10000,0.005,43,full,PD_positive_oracle,0.9337587939698493,0.07736185318244106,1,12,88,38,9862,100,0.12,0.24,0.16,0.008844221105527638
imdb,cf,10000,0.005,43,full,PD_positive_oracle,0.9337587939698493,0.07736185318244106,3,20,280,30,9670,300,0.06666666666666667,0.4,0.11428571428571428,0.02814070351758794
imdb,cf,10000,0.005,43,full,PD_positive_oracle,0.9337587939698493,0.07736185318244106,5,28,472,22,9478,500,0.056,0.56,0.10181818181818182,0.04743718592964824
imdb,cf,10000,0.005,43,full,PD_positive_oracle,0.9337587939698493,0.07736185318244106,10,39,961,11,8989,1000,0.039,0.78,0.07428571428571429,0.09658291457286432
imdb,cf,10000,0.005,43,full,base_label_NLL,0.9184140703517588,0.11351747705655468,1,16,84,34,9866,100,0.16,0.32,0.21333333333333335,0.008442211055276382
imdb,cf,10000,0.005,43,full,base_label_NLL,0.9184140703517588,0.11351747705655468,3,28,272,22,9678,300,0.09333333333333334,0.56,0.16,0.027336683417085426
imdb,cf,10000,0.005,43,full,base_label_NLL,0.9184140703517588,0.11351747705655468,5,34,466,16,9484,500,0.068,0.68,0.12363636363636364,0.046834170854271356
imdb,cf,10000,0.005,43,full,base_label_NLL,0.9184140703517588,0.11351747705655468,10,39,961,11,8989,1000,0.039,0.78,0.07428571428571429,0.09658291457286432
imdb,cf,10000,0.005,43,full,adapted_label_NLL,0.6323517587939699,0.0062992844224799595,1,0,100,50,9850,100,0.0,0.0,0.0,0.010050251256281407
imdb,cf,10000,0.005,43,full,adapted_label_NLL,0.6323517587939699,0.0062992844224799595,3,0,300,50,9650,300,0.0,0.0,0.0,0.03015075376884422
imdb,cf,10000,0.005,43,full,adapted_label_NLL,0.6323517587939699,0.0062992844224799595,5,0,500,50,9450,500,0.0,0.0,0.0,0.05025125628140704
imdb,cf,10000,0.005,43,full,adapted_label_NLL,0.6323517587939699,0.0062992844224799595,10,3,997,47,8953,1000,0.003,0.06,0.005714285714285714,0.10020100502512563
imdb,cf,10000,0.005,43,full,ZScore_token,0.2020442211055276,0.003224317977360199,1,0,100,50,9850,100,0.0,0.0,0.0,0.010050251256281407
imdb,cf,10000,0.005,43,full,ZScore_token,0.2020442211055276,0.003224317977360199,3,0,300,50,9650,300,0.0,0.0,0.0,0.03015075376884422
imdb,cf,10000,0.005,43,full,ZScore_token,0.2020442211055276,0.003224317977360199,5,0,500,50,9450,500,0.0,0.0,0.0,0.05025125628140704
imdb,cf,10000,0.005,43,full,ZScore_token,0.2020442211055276,0.003224317977360199,10,0,1000,50,8950,1000,0.0,0.0,0.0,0.10050251256281408
imdb,cf,10000,0.005,43,full,ZScore_released_unigram,0.4835939698492462,0.014352856218054039,1,3,97,47,9853,100,0.03,0.06,0.04,0.009748743718592965
imdb,cf,10000,0.005,43,full,ZScore_released_unigram,0.4835939698492462,0.014352856218054039,3,6,294,44,9656,300,0.02,0.12,0.03428571428571429,0.029547738693467336
imdb,cf,10000,0.005,43,full,ZScore_released_unigram,0.4835939698492462,0.014352856218054039,5,16,484,34,9466,500,0.032,0.32,0.05818181818181818,0.04864321608040201
imdb,cf,10000,0.005,43,full,ZScore_released_unigram,0.4835939698492462,0.014352856218054039,10,16,984,34,8966,1000,0.016,0.32,0.030476190476190476,0.09889447236180905
imdb,cf,10000,0.005,44,full,PD_KL,0.9343678391959799,0.12613268453321616,1,16,84,34,9866,100,0.16,0.32,0.21333333333333335,0.008442211055276382
imdb,cf,10000,0.005,44,full,PD_KL,0.9343678391959799,0.12613268453321616,3,27,273,23,9677,300,0.09,0.54,0.15428571428571428,0.02743718592964824
imdb,cf,10000,0.005,44,full,PD_KL,0.9343678391959799,0.12613268453321616,5,30,470,20,9480,500,0.06,0.6,0.10909090909090909,0.04723618090452261
imdb,cf,10000,0.005,44,full,PD_KL,0.9343678391959799,0.12613268453321616,10,35,965,15,8985,1000,0.035,0.7,0.06666666666666667,0.09698492462311557
imdb,cf,10000,0.005,44,full,PD_label_KL,0.933732663316583,0.12447510536379448,1,16,84,34,9866,100,0.16,0.32,0.21333333333333335,0.008442211055276382
imdb,cf,10000,0.005,44,full,PD_label_KL,0.933732663316583,0.12447510536379448,3,27,273,23,9677,300,0.09,0.54,0.15428571428571428,0.02743718592964824
imdb,cf,10000,0.005,44,full,PD_label_KL,0.933732663316583,0.12447510536379448,5,30,470,20,9480,500,0.06,0.6,0.10909090909090909,0.04723618090452261
imdb,cf,10000,0.005,44,full,PD_label_KL,0.933732663316583,0.12447510536379448,10,35,965,15,8985,1000,0.035,0.7,0.06666666666666667,0.09698492462311557
imdb,cf,10000,0.005,44,full,PD_observed,0.8828984924623114,0.05075710896596207,1,7,93,43,9857,100,0.07,0.14,0.09333333333333334,0.009346733668341708
imdb,cf,10000,0.005,44,full,PD_observed,0.8828984924623114,0.05075710896596207,3,18,282,32,9668,300,0.06,0.36,0.10285714285714286,0.02834170854271357
imdb,cf,10000,0.005,44,full,PD_observed,0.8828984924623114,0.05075710896596207,5,28,472,22,9478,500,0.056,0.56,0.10181818181818182,0.04743718592964824
imdb,cf,10000,0.005,44,full,PD_observed,0.8828984924623114,0.05075710896596207,10,35,965,15,8985,1000,0.035,0.7,0.06666666666666667,0.09698492462311557
imdb,cf,10000,0.005,44,full,PD_max_abs,0.8828964824120602,0.05075709370366344,1,7,93,43,9857,100,0.07,0.14,0.09333333333333334,0.009346733668341708
imdb,cf,10000,0.005,44,full,PD_max_abs,0.8828964824120602,0.05075709370366344,3,18,282,32,9668,300,0.06,0.36,0.10285714285714286,0.02834170854271357
imdb,cf,10000,0.005,44,full,PD_max_abs,0.8828964824120602,0.05075709370366344,5,28,472,22,9478,500,0.056,0.56,0.10181818181818182,0.04743718592964824
imdb,cf,10000,0.005,44,full,PD_max_abs,0.8828964824120602,0.05075709370366344,10,35,965,15,8985,1000,0.035,0.7,0.06666666666666667,0.09698492462311557
imdb,cf,10000,0.005,44,full,PD_positive_oracle,0.9333165829145729,0.07966093065807196,1,10,90,40,9860,100,0.1,0.2,0.13333333333333333,0.009045226130653266
imdb,cf,10000,0.005,44,full,PD_positive_oracle,0.9333165829145729,0.07966093065807196,3,27,273,23,9677,300,0.09,0.54,0.15428571428571428,0.02743718592964824
imdb,cf,10000,0.005,44,full,PD_positive_oracle,0.9333165829145729,0.07966093065807196,5,31,469,19,9481,500,0.062,0.62,0.11272727272727273,0.0471356783919598
imdb,cf,10000,0.005,44,full,PD_positive_oracle,0.9333165829145729,0.07966093065807196,10,39,961,11,8989,1000,0.039,0.78,0.07428571428571429,0.09658291457286432
imdb,cf,10000,0.005,44,full,base_label_NLL,0.9322592964824121,0.11323759947776722,1,16,84,34,9866,100,0.16,0.32,0.21333333333333335,0.008442211055276382
imdb,cf,10000,0.005,44,full,base_label_NLL,0.9322592964824121,0.11323759947776722,3,27,273,23,9677,300,0.09,0.54,0.15428571428571428,0.02743718592964824
imdb,cf,10000,0.005,44,full,base_label_NLL,0.9322592964824121,0.11323759947776722,5,30,470,20,9480,500,0.06,0.6,0.10909090909090909,0.04723618090452261
imdb,cf,10000,0.005,44,full,base_label_NLL,0.9322592964824121,0.11323759947776722,10,34,966,16,8984,1000,0.034,0.68,0.06476190476190476,0.09708542713567839
imdb,cf,10000,0.005,44,full,adapted_label_NLL,0.7121266331658292,0.008955819143073475,1,0,100,50,9850,100,0.0,0.0,0.0,0.010050251256281407
imdb,cf,10000,0.005,44,full,adapted_label_NLL,0.7121266331658292,0.008955819143073475,3,0,300,50,9650,300,0.0,0.0,0.0,0.03015075376884422
imdb,cf,10000,0.005,44,full,adapted_label_NLL,0.7121266331658292,0.008955819143073475,5,1,499,49,9451,500,0.002,0.02,0.0036363636363636364,0.050150753768844224
imdb,cf,10000,0.005,44,full,adapted_label_NLL,0.7121266331658292,0.008955819143073475,10,6,994,44,8956,1000,0.006,0.12,0.011428571428571429,0.09989949748743719
imdb,cf,10000,0.005,44,full,ZScore_token,0.2124251256281407,0.003056763203584837,1,0,100,50,9850,100,0.0,0.0,0.0,0.010050251256281407
imdb,cf,10000,0.005,44,full,ZScore_token,0.2124251256281407,0.003056763203584837,3,0,300,50,9650,300,0.0,0.0,0.0,0.03015075376884422
imdb,cf,10000,0.005,44,full,ZScore_token,0.2124251256281407,0.003056763203584837,5,0,500,50,9450,500,0.0,0.0,0.0,0.05025125628140704
imdb,cf,10000,0.005,44,full,ZScore_token,0.2124251256281407,0.003056763203584837,10,0,1000,50,8950,1000,0.0,0.0,0.0,0.10050251256281408
imdb,cf,10000,0.005,44,full,ZScore_released_unigram,0.44715376884422114,0.011869854711026523,1,5,95,45,9855,100,0.05,0.1,0.06666666666666667,0.009547738693467337
imdb,cf,10000,0.005,44,full,ZScore_released_unigram,0.44715376884422114,0.011869854711026523,3,12,288,38,9662,300,0.04,0.24,0.06857142857142857,0.028944723618090452
imdb,cf,10000,0.005,44,full,ZScore_released_unigram,0.44715376884422114,0.011869854711026523,5,14,486,36,9464,500,0.028,0.28,0.05090909090909091,0.048844221105527635
imdb,cf,10000,0.005,44,full,ZScore_released_unigram,0.44715376884422114,0.011869854711026523,10,14,986,36,8964,1000,0.014,0.28,0.02666666666666667,0.09909547738693468
imdb,cf,10000,0.01,42,full,PD_KL,0.9344898989898989,0.25731815566333244,1,40,60,60,9840,100,0.4,0.4,0.4,0.006060606060606061
imdb,cf,10000,0.01,42,full,PD_KL,0.9344898989898989,0.25731815566333244,3,57,243,43,9657,300,0.19,0.57,0.285,0.024545454545454544
imdb,cf,10000,0.01,42,full,PD_KL,0.9344898989898989,0.25731815566333244,5,66,434,34,9466,500,0.132,0.66,0.22,0.043838383838383836
imdb,cf,10000,0.01,42,full,PD_KL,0.9344898989898989,0.25731815566333244,10,79,921,21,8979,1000,0.079,0.79,0.14363636363636365,0.09303030303030303
imdb,cf,10000,0.01,42,full,PD_label_KL,0.9350121212121212,0.25760733945330466,1,40,60,60,9840,100,0.4,0.4,0.4,0.006060606060606061
imdb,cf,10000,0.01,42,full,PD_label_KL,0.9350121212121212,0.25760733945330466,3,57,243,43,9657,300,0.19,0.57,0.285,0.024545454545454544
imdb,cf,10000,0.01,42,full,PD_label_KL,0.9350121212121212,0.25760733945330466,5,66,434,34,9466,500,0.132,0.66,0.22,0.043838383838383836
imdb,cf,10000,0.01,42,full,PD_label_KL,0.9350121212121212,0.25760733945330466,10,80,920,20,8980,1000,0.08,0.8,0.14545454545454545,0.09292929292929293
