dataset,attack,n,rate,seed,mode,method,poisons_removed,clean_removed,asr,clean_accuracy
imdb,cf,10000,0.05,42,full,PD_KL,268,232,0.9599198396793587,0.863
imdb,cf,10000,0.05,42,full,PD_observed,472,28,0.1683366733466934,0.846
imdb,cf,10000,0.05,42,full,ZScore_released_unigram,0,500,1.0,0.856
imdb,cf,10000,0.05,42,full,random,14,486,1.0,0.852
imdb,cf,10000,0.05,42,full,oracle,500,0,0.15430861723446893,0.85
imdb,cf,10000,0.05,43,full,PD_KL,258,242,1.0,0.856
imdb,cf,10000,0.05,43,full,PD_observed,470,30,0.17034068136272545,0.861
imdb,cf,10000,0.05,43,full,ZScore_released_unigram,0,500,1.0,0.859
imdb,cf,10000,0.05,43,full,random,26,474,1.0,0.867
imdb,cf,10000,0.05,43,full,oracle,500,0,0.1743486973947896,0.856
imdb,cf,10000,0.05,44,full,PD_KL,276,224,1.0,0.853
imdb,cf,10000,0.05,44,full,PD_observed,453,47,0.17034068136272545,0.859
imdb,cf,10000,0.05,44,full,ZScore_released_unigram,0,500,1.0,0.849
imdb,cf,10000,0.05,44,full,random,28,472,1.0,0.849
imdb,cf,10000,0.05,44,full,oracle,500,0,0.15030060120240482,0.856
sst2,scpn,6000,0.05,42,full,PD_KL,157,143,0.4989010989010989,0.9098405717427158
sst2,scpn,6000,0.05,42,full,PD_observed,104,196,0.6604395604395604,0.9065420560747663
sst2,scpn,6000,0.05,42,full,ZScore_released_unigram,0,300,0.9417582417582417,0.8982957669048928
sst2,scpn,6000,0.05,42,full,random,14,286,0.9153846153846154,0.8933479934029687
sst2,scpn,6000,0.05,42,full,oracle,300,0,0.23736263736263735,0.9048927982407916
sst2,scpn,6000,0.05,43,full,PD_KL,152,148,0.4593406593406593,0.9098405717427158
sst2,scpn,6000,0.05,43,full,PD_observed,73,227,0.7923076923076923,0.9081913139087411
sst2,scpn,6000,0.05,43,full,ZScore_released_unigram,0,300,0.9351648351648352,0.8922484881803189
sst2,scpn,6000,0.05,43,full,random,10,290,0.9252747252747253,0.8916987355689939
sst2,scpn,6000,0.05,43,full,oracle,300,0,0.24285714285714285,0.9087410665200659
sst2,scpn,6000,0.05,44,full,PD_KL,156,144,0.5087912087912088,0.9093406593406593
sst2,scpn,6000,0.05,44,full,PD_observed,65,235,0.8340659340659341,0.8928571428571429
sst2,scpn,6000,0.05,44,full,ZScore_released_unigram,0,300,0.9373626373626374,0.8884615384615384
sst2,scpn,6000,0.05,44,full,random,18,282,0.9230769230769231,0.8895604395604395
sst2,scpn,6000,0.05,44,full,oracle,300,0,0.27362637362637365,0.9038461538461539
